imdbId,genreId
tt1517451,12
tt1517451,15
tt7401588,5
tt7401588,7
tt1226837,4
tt1226837,7
tt1270797,1
tt1270797,2
tt1270797,16
tt8267604,7
tt5083738,4
tt5083738,5
tt5083738,7
tt1727824,4
tt1727824,7
tt1727824,12
tt5463162,1
tt5463162,2
tt5463162,5
tt2873282,1
tt2873282,7
tt2873282,18
tt3104988,5
tt3104988,7
tt3104988,15
tt3778644,1
tt3778644,2
tt3778644,16
tt6751668,7
tt6751668,18
tt7131622,5
tt7131622,7
tt1950186,1
tt1950186,4
tt1950186,7
tt4154796,1
tt4154796,2
tt4154796,16
tt8946378,5
tt8946378,6
tt8946378,7
tt8772262,7
tt8772262,11
tt8772262,14
tt8367814,1
tt8367814,6
tt7547410,1
tt7547410,2
tt7547410,5
tt7286456,6
tt7286456,7
tt7286456,18
tt2386490,3
tt2386490,1
tt2386490,2
tt6146586,1
tt6146586,6
tt6146586,7
tt8579674,1
tt8579674,7
tt8579674,19
tt6857112,11
tt6857112,14
tt6857112,18
tt2527338,1
tt2527338,2
tt2527338,9
tt1302006,4
tt1302006,6
tt1302006,7
tt3281548,7
tt3281548,15
tt0103639,3
tt0103639,2
tt0103639,5
tt5727208,6
tt5727208,7
tt5727208,18
tt8613070,7
tt8613070,15
tt7984734,7
tt7984734,9
tt7984734,11
tt7798634,1
tt7798634,5
tt7798634,11
tt4139588,1
tt4139588,6
tt4139588,18
tt7349950,7
tt7349950,9
tt7349950,11
tt2584384,5
tt2584384,7
tt2584384,19
tt1488606,1
tt1488606,18
tt7556122,1
tt7556122,18
tt8503618,4
tt8503618,7
tt8503618,10
tt6723592,1
tt6723592,16
tt6723592,18
tt9484998,5
tt9484998,9
tt9484998,14
tt2106476,7
tt10272386,7
tt10272386,14
tt9620292,6
tt9620292,7
tt9620292,14
tt10288566,5
tt10288566,7
tt1051906,7
tt1051906,11
tt1051906,14
tt7395114,6
tt7395114,7
tt7395114,18
tt6048922,7
tt6048922,10
tt6048922,19
tt2948372,3
tt2948372,2
tt2948372,5
tt8936646,1
tt8936646,6
tt8936646,18
tt3794354,1
tt3794354,2
tt3794354,5
tt8633478,7
tt8633478,11
tt8633478,14
tt7737786,1
tt7737786,18
tt9214832,5
tt9214832,7
tt9214832,15
tt11032374,3
tt11032374,1
tt11032374,2
tt7711170,7
tt7711170,14
tt7711170,18
tt5867314,7
tt5867314,11
tt5867314,14
tt7846844,2
tt7846844,6
tt7846844,7
tt6772802,4
tt6772802,7
tt8332922,7
tt8332922,11
tt8332922,16
tt1911644,7
tt1911644,11
tt1911644,18
tt7939766,7
tt7939766,18
tt1160419,1
tt1160419,2
tt1160419,7
tt7888964,1
tt7888964,6
tt7888964,7
tt10872600,1
tt10872600,2
tt10872600,9
tt2382320,1
tt2382320,2
tt2382320,18
tt11083552,1
tt11083552,6
tt11083552,18
tt9032400,1
tt9032400,2
tt9032400,9
tt6334354,1
tt6334354,2
tt6334354,5
tt3480822,1
tt3480822,2
tt3480822,16
tt9620288,4
tt9620288,7
tt9620288,17
tt8385148,1
tt8385148,5
tt8385148,6
tt10370710,5
tt10370710,7
tt10370710,15
tt11286314,5
tt11286314,7
tt11286314,16
tt11235772,7
tt11235772,14
tt11235772,15
tt7144666,11
tt7144666,14
tt7144666,18
tt9777666,1
tt9777666,2
tt9777666,7
tt10366460,5
tt10366460,7
tt10366460,12
tt6264654,1
tt6264654,2
tt6264654,5
tt12361974,1
tt12361974,2
tt12361974,9
tt9376612,1
tt9376612,2
tt9376612,9
tt11271038,5
tt11271038,7
tt11271038,15
tt2953050,3
tt2953050,5
tt2953050,8
tt9639470,7
tt9639470,11
tt9639470,14
tt6856242,1
tt6856242,2
tt6856242,18
tt7991608,1
tt7991608,5
tt7991608,18
tt9421570,6
tt9421570,7
tt9421570,18
tt1745960,1
tt1745960,7
tt8760708,11
tt8760708,16
tt8760708,18
tt12593682,1
tt12593682,5
tt12593682,18
tt10638522,11
tt10638522,18
tt15791034,11
tt15791034,14
tt15791034,18
tt1877830,1
